lambda,sigma_inst,sigma_ale_med,sigma_epi_med,sigma_total_med,ratio_ale_inst,ratio_total_inst
221,4.543316379458166e-05,2.2716582e-05,7.3218166e-06,2.3867386e-05,0.5000000012131679,0.525329596577468
222,4.567118715998764e-05,2.2835593e-05,7.3232763e-06,2.398113e-05,0.49999998669009554,0.5250822705532368
223,4.607802812956007e-05,2.3039014e-05,6.9322086e-06,2.4059336e-05,0.5000000028280721,0.5221433568206362
224,4.617795496851215e-05,2.3088978e-05,7.943434e-06,2.4417188e-05,0.500000015413687,0.528762867568362
225,4.5822593151039844e-05,2.2911296e-05,7.440456e-06,2.4089164e-05,0.49999998030647314,0.5257049506578806
226,4.531595555827065e-05,2.2657978e-05,8.130301e-06,2.407251e-05,0.49999999939690387,0.5312148691987845
227,4.495910871357342e-05,2.2479555e-05,8.543115e-06,2.4048184e-05,0.5000000120868572,0.5348901423384037
228,4.471900930848639e-05,2.2359505e-05,8.269428e-06,2.3839693e-05,0.5000000130437287,0.5330997640916418
229,4.450191409423515e-05,2.2250957e-05,9.053163e-06,2.4022174e-05,0.4999999999499267,0.5398009235931185
230,4.4413369626458676e-05,2.2206685e-05,9.018627e-06,2.3968156e-05,0.4999999965903731,0.539660827426477
231,4.460863051037692e-05,2.2304315e-05,1.0447457e-05,2.4629897e-05,0.5000000005573894,0.552132997329644
232,4.493044500788988e-05,2.2465223e-05,9.8111705e-06,2.4514185e-05,0.5000000128809221,0.5456029979946229
233,4.4506727596820444e-05,2.2253364e-05,9.524549e-06,2.4205976e-05,0.49999999482010643,0.543872291674163
234,4.357337289453374e-05,2.1786687e-05,1.0481372e-05,2.4176825e-05,0.5000000192137599,0.5548531867693032
235,4.2722118752242735e-05,2.136106e-05,9.422891e-06,2.3347071e-05,0.5000000177619638,0.5464867297409801
236,4.2160378487459144e-05,2.108019e-05,1.023504e-05,2.3433533e-05,0.5000000174908061,0.5558188476606803
237,4.1662531730708965e-05,2.0831267e-05,1.4898142e-05,2.5610472e-05,0.5000000209513685,0.6147123364152911
238,4.131215737358303e-05,2.0656078e-05,1.07310325e-05,2.3277213e-05,0.499999984580934,0.5634470372965881
239,4.116075672902636e-05,2.0580379e-05,9.5231635e-06,2.2676919e-05,0.5000000151179312,0.5509354222458432
240,4.100363917323533e-05,2.050182e-05,9.971396e-06,2.27981e-05,0.5000000216029769,0.5560018676930023
